Date,Price,Open,High,Low,Vol.,Change %
2002-01-03,3640.0,3684.51,3694.96,3640.0,-,-1.49%
2002-01-04,3671.5,3641.08,3671.5,3640.0,-,0.87%
2002-01-07,3667.3,3670.56,3674.71,3662.56,-,-0.11%
2002-01-08,3641.65,3655.56,3657.54,3639.32,-,-0.70%
2002-01-09,3644.19,3637.89,3645.03,3627.77,-,0.07%
2002-01-10,3658.01,3641.2,3658.09,3641.2,-,0.38%
2002-01-14,3649.28,3654.13,3658.83,3648.37,-,-0.24%
2002-01-15,3644.51,3644.54,3648.04,3638.75,-,-0.13%
2002-01-16,3669.65,3646.53,3670.83,3643.99,-,0.69%
2002-01-17,3675.75,3665.76,3676.84,3665.76,-,0.17%
2002-01-18,3689.57,3682.3,3689.8,3678.26,-,0.38%
2002-01-22,3676.4,3678.26,3680.98,3669.87,-,-0.05%
2002-01-23,3675.41,3667.89,3676.77,3661.55,-,-0.03%
2002-01-24,3676.21,3664.37,3678.23,3653.72,-,0.02%
2002-01-25,3694.92,3678.73,3696.63,3678.73,-,0.51%
2002-01-28,3689.76,3681.56,3697.12,3681.56,-,-0.14%
2002-01-29,3683.83,3692.1,3695.27,3682.46,-,-0.16%
2002-01-30,3672.35,3673.45,3683.61,3672.35,-,-0.31%
2002-01-31,3675.32,3664.87,3675.32,3660.43,-,0.08%
2002-02-01,3684.23,3673.53,3690.99,3673.53,-,0.24%
2002-02-04,3678.79,3685.97,3686.38,3678.79,-,-0.15%
2002-02-05,3664.07,3665.04,3669.46,3664.07,-,-0.40%
2002-02-06,3660.96,3649.78,3674.02,3649.78,-,-0.08%
2002-02-07,3637.01,3652.15,3658.75,3637.01,-,-0.65%
2002-02-08,3630.87,3630.16,3630.87,3617.76,-,-0.17%
2002-02-11,3607.76,3614.2,3615.88,3605.76,-,-0.64%
2002-02-12,3632.31,3595.72,3635.85,3595.72,-,0.68%
2002-02-13,3629.68,3623.03,3629.75,3621.15,-,-0.07%
2002-02-14,3622.9,3623.02,3629.39,3622.31,-,-0.19%
2002-02-15,3636.53,3619.63,3636.53,3619.63,-,0.38%
2002-02-19,3626.05,3633.47,3635.54,3621.39,-,-0.24%
2002-02-20,3628.01,3623.02,3628.01,3618.8,-,0.05%
2002-02-21,3627.97,3627.47,3631.93,3625.92,-,-0.00%
2002-02-22,3626.35,3626.74,3627.3,3623.17,-,-0.04%
2002-02-26,3627.04,3626.19,3627.04,3623.1,-,0.02%
2002-02-27,3631.73,3625.85,3632.18,3621.98,-,0.13%
2002-02-28,3635.57,3633.34,3636.35,3632.69,-,0.11%
2002-03-01,3649.36,3635.54,3649.45,3633.25,-,0.38%
2002-03-04,3653.35,3638.64,3663.64,3638.64,-,0.11%
2002-03-05,3646.02,3651.94,3655.34,3644.29,-,-0.20%
2002-03-06,3647.61,3644.15,3647.9,3641.64,-,0.04%
2002-03-07,3655.75,3644.37,3657.45,3644.37,-,0.22%
2002-03-08,3661.27,3649.08,3661.27,3643.81,-,0.15%
2002-03-11,3657.17,3657.84,3659.42,3653.85,-,-0.11%
2002-03-12,3650.96,3652.8,3655.25,3649.35,-,-0.17%
2002-03-13,3654.59,3641.39,3654.59,3641.39,-,0.10%
2002-03-14,3662.64,3647.91,3672.77,3647.91,-,0.22%
2002-03-15,3652.41,3652.41,3652.41,3652.41,-,-0.28%
2002-03-18,3644.16,3635.78,3644.5,3635.78,-,-0.23%
2002-03-19,3665.68,3641.68,3665.68,3637.67,-,0.59%
2002-03-20,3682.0,3662.49,3682.0,3662.49,-,0.45%
2002-03-21,3665.22,3669.23,3671.07,3659.47,-,-0.46%
2002-03-22,3654.16,3645.79,3654.16,3643.31,-,-0.30%
2002-03-25,3647.35,3644.9,3647.49,3644.03,-,-0.19%
